Dataset: CMT / Instância: CMT50.5,,,,,,
,Heurística Construtiva,,Heurística Construtiva + Refinamento,,GLS,
Seed,Solucao,Tempo,Solucao,Tempo,Solucao,Tempo
1,595.8627014822038,0.003988027572631836,566.7778499329719,0.004965066909790039,536.1135630181321,0.028966665267944336
2,603.8627014822038,0.004968881607055664,569.8662157773913,0.005961418151855469,539.377123984955,0.02407073974609375
3,603.8627014822038,0.0029914379119873047,573.8885616237843,0.003988742828369141,537.3605964573906,0.020943880081176758
4,577.6437830980134,0.003675222396850586,579.2267208735199,0.00467228889465332,549.2315259572795,0.021903276443481445
5,609.8627014822038,0.0029137134552001953,580.7778499329719,0.003914356231689453,532.6730948438177,0.02215862274169922
6,562.0965605469795,0.005025625228881836,562.081290652653,0.005025625228881836,557.7852994590867,0.019951820373535156
7,600.2105790163392,0.003951311111450195,554.391558331679,0.003951311111450195,554.0043956168034,0.02194666862487793
8,562.0965605469795,0.003988504409790039,562.0965605469795,0.00499272346496582,522.3279949570642,0.020992517471313477
9,562.0965605469795,0.006986141204833984,566.1678546526051,0.007986783981323242,534.8878735099096,0.030176162719726562
10,595.8627014822038,0.0049953460693359375,595.8627014822038,0.005951404571533203,565.180197602623,0.030861377716064453
11,577.6437830980134,0.005027055740356445,577.6437830980134,0.006023883819580078,559.5072139338924,0.023944854736328125
12,609.8627014822038,0.003857851028442383,577.6608057901853,0.004857540130615234,543.8129777366955,0.021979331970214844
13,609.8627014822038,0.002852201461791992,587.9536517547714,0.0038580894470214844,544.4941288867692,0.020999670028686523
14,595.8627014822038,0.004964113235473633,581.613521162666,0.0059621334075927734,518.5781297701608,0.027555465698242188
15,562.0965605469795,0.004022836685180664,551.2142443215206,0.0050201416015625,575.954179451703,0.02210521697998047
16,603.8627014822038,0.00402522087097168,603.8627014822038,0.0059814453125,525.4407442932204,0.022945404052734375
17,609.8627014822038,0.00601649284362793,586.2659687925695,0.007047891616821289,542.0907629487447,0.02705216407775879
18,595.8627014822038,0.004027605056762695,560.7435025043145,0.005025148391723633,541.5247144747556,0.02093815803527832
19,595.8627014822038,0.003981828689575195,595.8627014822038,0.003981828689575195,531.14292704803,0.020944595336914062
20,603.8627014822038,0.003989458084106445,566.9531900120375,0.003989458084106445,550.8104702754457,0.027968883514404297
21,595.8627014822038,0.003988981246948242,516.2172811214173,0.004986286163330078,538.6167020227023,0.027930021286010742
22,595.8627014822038,0.003988742828369141,565.8885616237843,0.003988742828369141,517.9001823464763,0.020943880081176758
23,562.0965605469795,0.0059850215911865234,547.453124781524,0.0059850215911865234,552.0297717593861,0.02263355255126953
24,595.8627014822038,0.004941701889038086,550.6345470650203,0.005939483642578125,484.08631460297687,0.02102518081665039
25,589.5635968861055,0.00598907470703125,591.7830997219642,0.006982088088989258,595.59813799907,0.028520584106445312
26,603.8627014822038,0.0019974708557128906,578.5967161154587,0.0030014514923095703,527.6848475865526,0.021947860717773438
27,595.8627014822038,0.00399327278137207,595.8627014822038,0.004990577697753906,560.6000957218764,0.02094745635986328
28,609.8627014822038,0.0050220489501953125,609.8627014822038,0.006020307540893555,542.0947594779925,0.023897647857666016
29,577.6437830980134,0.006981611251831055,576.5797058823282,0.008978843688964844,525.986123673153,0.02992081642150879
30,577.6437830980134,0.0049915313720703125,557.4633939670538,0.005988121032714844,592.6241276834463,0.024755001068115234
